     xj
xi         1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77     78     79     80     81     82     83     84     85     86     87     88     89     90     91     92     93     94     95     96     97     98     99    100
  44       0      0      0      0      0      0      0      9      6     12     13     22     28     30     31     42     45     42     47     52     50     67     82     99     88    125    125    142    122    107    122    157    169    253    246    218    216    244    205    141    138    266    370    321    305     76     80     88    212    341     56     55     49     41     53    299     80     60     58    164     92     32     19     36     35    159     12     16     16     40     39     11     23     19     90     48     40     21     17      6      6     10      0      7     28      7     17      0      0      6      0      0      6      0      6      0      6      0      0      0
  45       0      0      0      0      0      0      6      0      6     12     12     10     21     32     27     29     39     42     45     56     54     55     61     74     71     83    111     95     91    108    109    153    144    180    190    200    194    242    171    128    174    260    337    287    313    109     98     85    237    365     69     82     60     43     55    319     75     60     46    164     79     29     23     27     50    176     19     19     18     30     27     13     12     14    103     39     41     21     13      6      6      0      0      0     37      6     22      0      0      0      0      8      0      0      0      0      7      0      0      0
  46       0      0      0      0      0      0      0      0      0      0      0      7      6     15     10      6     17     10     19     13     19     20     30     24     25     21     29     30     28     31     36     37     47     55     70     60     72     76     40     50     43     76    128    115    111     30     34     25     89    144     22     14     14     20     14    117     29     19     11     62     23      9      8      6     19     54      6      6      7     11      8      6      6      6     32     20     10     10      6      0      0      6      0      0     13      0      6      0      0      0      0      0      6      0      0      0      0      0      0      0
  47       0      0      0      0      0      0      0      0      0      0      0      0      0      7      6      0     16     14     14     10     18      8     18     19     21     23     29     19     31     29     43     52     42     49     58     49     45     71     55     29     34     87    102     96     73     43     34     40     78    143     19     24     13     21     18    123     23     30     15     54     34     11      7      7     24     64      6      0      8     18      6      6      8      7     30     18     12      9      6      0      0      0      0      0     13      6      6      0      0      0      0      0      0      0      0      0      0      0      0      0
  48       0      0      0      0      0      0      0      0      0      0      0      0      6      6      6     10      8      7      7     16     15     20      8     20     15     28     25     30     26     28     28     39     41     60     62     45     59     60     57     41     31     69    118     96     77     27     16     31     82    135     26     33     32     16     27    112     24     19     17     62     29      6     14     15     24     62      6      8      7     12      6      6      6      0     27     15     13      7      8      6      0      6      0      0      6      0      0      0      0      0      0      0      6      0      0      0      0      0      0      0
  49       0      0      0      0      0      0      0      0      0      6      6      9      6      9     10     16     24     23     38     25     43     46     43     46     57     65     65     58     55     63     62    102    111    133    138    131    150    127    148     95     96    146    255    231    249     87     69     86    251    360     73     95     73     58     55    310     68     59     43    138     90     35     29     36     41    155     15     21     21     32     20     11     17     11    108     45     37     28     16     11     10      0      6      6     33      6     17      0      6      0      0      8      0      0      0      0      6      0      0      0
  50       0      0      0      0      0      0      6      0      6     10      6     12     15     24     20     21     35     44     36     56     35     60     52     73     66     99     96     84     86     85    106    126    138    198    215    195    198    204    184    137    140    271    362    376    414    126    146    123    362    637    131    119    107    101     91    618    110     87     94    285    177     46     50     50     76    301     31     29     31     59     30     21     25     21    179     84     62     53     25     13      6      7     14      7     56     11     33      0      6      6      7     11     10      6      0      0     10      0      0      0
  51       0      0      0      0      0      0      0      0      0      0      0      0      6      0      0      0      6      6      8      6     10     10     12      7     15     14     12     20     17     13     20     25     27     32     45     32     43     50     35     32     25     47     86     71     95     25     24     32     78    140     31     34     35     28     20    137     31     31     19     76     44     16     10     10     31     62      7      6      6     18     10      6      7      6     44     16     14     13      7      0      6      6      0      0      6      6      9      0      0      0      0      0      0      6      0      0      0      0      0      0
  52       0      0      0      0      0      0      0      0      0      0      0      0      6      6      0      0      8      9      6     12     11      6      7     13     12     10     10     17     15     16      8     22     30     30     45     26     31     52     34     17     24     57     73     74     87     23     18     23     72    126     29     34     21     24     20    149     24     27     23     67     40     13     11     10     19     67      9     14     11     19      7      7      8      6     34     20     17      9      6      0      0      0      0      0     15      0      7      0      0      0      0      0      0      0      0      0      0      0      0      0
  53       0      0      0      0      0      0      0      0      0      0      0      0      0      6      0      0      9     11      0      6      8      7     10      6      0     13     16     18     10     14     19     25     23     28     36     29     28     33     34     19     26     45     68     60     78     25     23     23     59    125     25     24     24     17     22    116     39     23     21     45     37     12     10     11     20     58      0      0     10     15      8     12      0      6     36     21     10      9      0      0      6      0      0      0     12      0      7      0      0      0      0      0      0      0      0      0      0      0      0      0
